"","token","tok_length","n"
"281","主要",2,20
"282","主觀",2,1
"283","主角",2,1
"284","主計",2,4
"285","主辦",2,8
"286","主題",2,7
"287","主顧",2,1
"288","主體",2,5
"289","乃",1,323
"290","乃爾",2,1
"291","乃至",2,1
"292","久",1,78
"293","久子",2,1
"294","久遠",2,1
"295","久長",2,2
"296","之",1,7671
"297","之上",2,1
"298","之下",2,2
"299","之內",2,1
"300","之前",2,2
"301","之後",2,14
"302","之意",2,1
"303","之間",2,18
"304","之際",2,1
"305","之類",2,2
"306","乎",1,122
"307","乏",1,15
"308","乖",1,3
"309","乖違",2,1
"310","乖離",2,1
"311","乘",1,53
"312","乘機",2,2
"313","乙",1,64
"314","乙未",2,7
"315","九",1,306
"316","九三",2,4
"317","九九",2,4
"318","九九三",3,2
"319","九五",2,9
"320","九八",2,8
"321","九十",2,8
"322","九十九",3,6
"323","九千",2,17
"324","九品",2,1
"325","九年",2,3
"326","九族",2,1
"327","九日",2,11
"328","九時",2,1
"329","九月",2,83
"330","九段",2,2
"331","九江",2,6
"332","九百",2,35
"333","九點",2,2
"334","九龍",2,1
"335","乞",1,6
"336","乞丐",2,1
"337","乞食",2,2
"338","也",1,1266
"339","也就",2,2
"340","也要",2,2
"341","也許",2,17
"342","乩",1,1
"343","乳",1,7
"344","乾",1,3
"345","乾淨",2,3
"346","乾隆",2,1
"347","亁",1,8
"348","亂",1,24
"349","亂世",2,1
"350","亂兵",2,1
"351","亂動",2,1
"352","亂國",2,1
"353","亂民",2,1
"354","了",1,588
"355","了解",2,5
"356","予",1,28
"357","予以",2,7
"358","事",1,503
"359","事事",2,6
"360","事件",2,65
"361","事例",2,2
"362","事先",2,2
"363","事前",2,1
"364","事務",2,54
"365","事務員",3,3
"366","事務局",3,11
"367","事務所",3,1
"368","事宜",2,30
"369","事實",2,113
"370","事實上",3,3
"371","事後",2,1
"372","事情",2,23
"373","事態",2,5
"374","事故",2,8
"375","事業",2,152
"376","事權",2,4
"377","事物",2,1
"378","事理",2,3
"379","事端",2,2
"380","事變",2,14
"381","事蹟",2,5
"382","事項",2,34
"383","二",1,928
"384","二三",2,12
"385","二三四",3,1
"386","二二",2,10
"387","二八",2,13
"388","二六",2,9
"389","二十",2,247
"390","二十世紀",4,4
"391","二十四",3,33
"392","二千",2,55
"393","二年",2,6
"394","二日",2,20
"395","二月",2,22
"396","二村",2,1
"397","二百",2,66
"398","二百二",3,1
"399","二百五",3,1
"400","二等",2,1
"401","二萬",2,5
"402","二萬五千",4,3
"403","二讀",2,4
"404","于",1,7
"405","于右任",3,4
"406","云",1,123
"407","云云",2,33
"408","互",1,38
"409","互助",2,3
"410","互換",2,1
"411","互相",2,34
"412","互選",2,1
"413","五",1,429
"414","五三",2,2
"415","五五",2,4
"416","五代",2,2
"417","五八",2,7
"418","五十",2,74
"419","五十二",3,5
"420","五十八",3,2
"421","五十六",3,3
"422","五千",2,28
"423","五四",2,21
"424","五帝",2,1
"425","五常",2,1
"426","五年",2,4
"427","五彩",2,1
"428","五日",2,28
"429","五月",2,32
"430","五權",2,1
"431","五洲",2,2
"432","五百",2,31
"433","五箇",2,1
"434","五經",2,4
"435","五色",2,1
"436","五萬",2,4
"437","五號",2,1
"438","五角",2,2
"439","五里",2,1
"440","五金",2,3
"441","五銖錢",3,3
"442","五院",2,1
"443","五體投地",4,1
"444","井",1,8
"445","井上",2,6
"446","井井",2,1
"447","井然",2,1
"448","井田",2,1
"449","井陘",2,2
"450","亘",1,2
"451","些",1,57
"452","些微",2,1
"453","亞",1,19
"454","亞東",2,1
"455","亞洲",2,3
"456","亞細亞",3,10
"457","亟",1,32
"458","亟須",2,1
"459","亡",1,23
"460","亡命",2,1
"461","亡國",2,12
"462","亢",1,4
"463","交",1,109
"464","交付",2,3
"465","交卸",2,1
"466","交戰",2,4
"467","交戰國",3,2
"468","交接",2,1
"469","交換",2,15
"470","交易",2,8
"471","交易所",3,1
"472","交替",2,4
"473","交流",2,1
"474","交涉",2,69
"475","交界",2,1
"476","交相",2,1
"477","交納",2,1
"478","交誼",2,2
"479","交趾",2,37
"480","交通",2,83
"481","交通網",3,1
"482","交通部",3,5
"483","交遊",2,3
"484","交還",2,5
"485","交際",2,7
"486","亥",1,6
"487","亦",1,855
"488","亨",1,5
"489","亨利",2,1
"490","亨通",2,1
"491","享",1,13
"492","享受",2,8
"493","享有",2,1
"494","享樂",2,1
"495","享用",2,3
"496","京",1,80
"497","京城",2,3
"498","京師",2,43
"499","京橋",2,2
"500","京津",2,2
"501","京滬",2,1
"502","京畿",2,3
"503","京都",2,21
"504","京阪",2,1
"505","亭",1,12
"506","亮",1,7
"507","人",1,1629
"508","人事",2,2
"509","人人",2,17
"510","人們",2,15
"511","人傑",2,1
"512","人像",2,1
"513","人力",2,5
"514","人力車",3,3
"515","人口",2,42
"516","人命",2,3
"517","人品",2,1
"518","人員",2,37
"519","人士",2,44
"520","人家",2,12
"521","人工",2,2
"522","人形",2,1
"523","人心",2,31
"524","人性",2,2
"525","人情",2,2
"526","人才",2,44
"527","人數",2,53
"528","人文",2,3
"529","人望",2,2
"530","人材",2,2
"531","人格",2,10
"532","人權",2,1
"533","人民",2,145
"534","人氣",2,1
"535","人物",2,21
"536","人生",2,37
"537","人禍",2,1
"538","人種",2,11
"539","人身",2,1
"540","人造",2,3
"541","人道",2,12
"542","人選",2,3
"543","人間",2,6
"544","人類",2,47
"545","人類學",3,3
"546","什",1,79
"547","什物",2,1
"548","什麼",2,1
"549","仁",1,16
"550","仁士",2,1
"551","仁孝",2,1
"552","仁宗",2,1
"553","仁恕",2,1
"554","仁政",2,1
"555","仁義",2,2
"556","仄",1,1
"557","仆",1,2
"558","仇",1,15
"559","仇敵",2,1
"560","仇殺",2,2
"561","仇視",2,3
"562","今",1,215
"563","今世",2,1
"564","今天",2,2
"565","今年",2,12
"566","今年度",3,3
"567","今後",2,9
"568","今日",2,146
"569","介",1,3
"570","介意",2,1
"571","介紹",2,19
"572","仍",1,145
"573","仍然",2,4
"574","仍舊",2,9
"575","仔",1,2
"576","仔細",2,1
"577","仕",1,6
"578","他",1,350
"579","他人",2,11
"580","他們",2,105
"581","他國",2,3
"582","他校",2,1
"583","他說",2,1
"584","仗",1,2
"585","付",1,39
"586","付出",2,2
"587","付款",2,2
"588","仙",1,9
"589","仙人",2,1
"590","仙境",2,1
"591","代",1,59
"592","代價",2,1
"593","代替",2,3
"594","代理",2,9
"595","代行",2,2
"596","代表",2,186
"597","代表團",3,6
"598","代議",2,2
"599","代辦",2,2
"600","令",1,188
"601","令人",2,4
"602","令和",2,1
"603","以",1,2384
"604","以上",2,187
"605","以下",2,35
"606","以來",2,77
"607","以便",2,1
"608","以內",2,9
"609","以前",2,106
"610","以及",2,46
"611","以外",2,14
"612","以往",2,2
"613","以後",2,164
"614","以至",2,3
"615","以致",2,3
"616","以降",2,2
"617","仰",1,27
"618","仰仗",2,1
"619","仰天",2,1
"620","仲",1,9
"621","仲兄",2,2
"622","仲冬",2,1
"623","仲夏",2,1
"624","仲田",2,1
"625","仲裁",2,3
"626","件",1,28
"627","任",1,169
"628","任何",2,12
"629","任務",2,10
"630","任命",2,11
"631","任意",2,6
"632","任期",2,8
"633","任用",2,8
"634","份",1,3
"635","份子",2,3
"636","仿",1,20
"637","仿效",2,3
"638","仿照",2,6
"639","企",1,2
"640","企劃廳",3,1
"641","企圖",2,9
"642","企業",2,6
"643","伊",1,9
"644","伊犁",2,1
"645","伊藤",2,1
"646","伊豆",2,6
"647","伊豆半島",4,4
"648","伊集院",3,1
"649","伍",1,7
"650","伍廷芳",3,1
"651","伏",1,15
"652","伏兵",2,1
"653","伐",1,3
"654","伐木",2,1
"655","休",1,9
"656","休息",2,5
"657","休戚",2,2
"658","休會",2,3
"659","休業",2,4
"660","休養",2,2
"661","伙食",2,1
"662","伯",1,24
"663","伯爵",2,1
"664","估",1,2
"665","估價",2,1
"666","估計",2,2
"667","伴",1,3
"668","伶人",2,5
"669","伶俐",2,4
"670","伸",1,8
"671","伸張",2,2
"672","伺",1,1
"673","似",1,83
"674","似乎",2,15
"675","但",1,292
"676","但是",2,63
"677","佈",1,4
"678","佈滿",2,1
"679","佈置",2,1
"680","佈道",2,1
"681","位",1,48
"682","位置",2,16
"683","低",1,36
"684","低下",2,3
"685","低劣",2,2
"686","低廉",2,26
"687","低微",2,1
"688","低矮",2,1
"689","低級",2,1
"690","低落",2,35
"691","低陷",2,1
"692","低首",2,1
"693","住",1,52
"694","住址",2,1
"695","住宅",2,5
"696","住家",2,4
"697","住宿",2,4
"698","住居",2,2
"699","住戶",2,1
"700","住房",2,9
"701","住所",2,22
"702","住持",2,2
"703","住民",2,6
"704","佐",1,10
"705","佐治",2,5
"706","佐理員",3,1
"707","佐籐",2,1
"708","佐藤",2,1
"709","佑",1,3
"710","佔",1,38
"711","佔據",2,6
"712","佔有",2,5
"713","佔用",2,1
"714","佔領",2,7
"715","何",1,244
"716","何以",2,6
"717","何止",2,1
"718","何況",2,1
"719","何種",2,1
"720","何等",2,7
"721","佗",1,10
"722","余",1,157
"723","佚",1,1
"724","佛",1,16
"725","佛像",2,1
"726","佛學",2,3
"727","佛寺",2,1
"728","佛山",2,6
"729","佛教",2,15
"730","佛殿",2,1
"731","作",1,231
"732","作品",2,9
"733","作家",2,10
"734","作廢",2,3
"735","作成",2,2
"736","作戰",2,2
"737","作業",2,1
"738","作用",2,19
"739","作者",2,11
"740","佞",1,6
"741","你",1,9
"742","你們",2,2
"743","佣金",2,1
"744","佩",1,9
"745","佩服",2,3
"746","佯",1,2
"747","佳",1,17
"748","佳句",2,1
"749","佺",1,2
"750","佼",1,2
"751","使",1,379
"752","使命",2,15
"753","使喚",2,1
"754","使團",2,1
"755","使得",2,1
"756","使用",2,15
"757","使者",2,1
"758","使臣",2,12
"759","使館",2,12
"760","來",1,442
"761","來到",2,1
"762","來客",2,1
"763","來往",2,7
"764","來源",2,1
"765","例",1,57
"766","例外",2,1
"767","例如",2,21
"768","例會",2,1
"769","例證",2,1
"770","侍",1,20
"771","侍從",2,1
"772","侍者",2,1
"773","侍講",2,1
"774","侔",1,1
"775","侖",1,2
"776","供",1,46
"777","供奉",2,2
"778","供應",2,1
"779","供求",2,1
"780","供給",2,22
"781","供述",2,1
"782","供養",2,1
"783","依",1,73
"784","依據",2,10
"785","依歸",2,1
"786","依然",2,5
"787","依照",2,14
"788","依田",2,4
"789","依舊",2,2
"790","依賴",2,8
"791","依附",2,3
"792","侮",1,8
"793","侮辱",2,3
"794","侯",1,18
"795","侯爵",2,1
"796","侵",1,10
"797","侵佔",2,2
"798","侵入",2,3
"799","侵吞",2,1
"800","侵奪",2,4
"801","侵害",2,3
"802","侵犯",2,5
"803","侵略",2,35
"804","侵蝕",2,4
"805","侵襲",2,1
"806","便",1,210
"807","便利",2,19
"808","便宜",2,4
"809","便捷",2,1
"810","便當",2,2
"811","便衣",2,3
"812","係",1,129
"813","促",1,28
"814","促使",2,1
"815","促成",2,8
"816","促進",2,17
"817","促進會",3,3
"818","俄",1,85
"819","俄國",2,33
"820","俄皇",2,1
"821","俄羅斯",3,9
"822","俄而",2,1
"823","俄語",2,1
"824","俄軍",2,1
"825","俊",1,1
"826","俊三",2,1
"827","俊秀",2,1
"828","俗",1,18
"829","俗儒",2,1
"830","俗士",2,1
"831","俗言",2,1
"832","俗語",2,1
"833","俘",1,1
"834","俚",1,1
"835","保",1,65
"836","保全",2,16
"837","保司",2,1
"838","保姆",2,6
"839","保存",2,20
"840","保守",2,4
"841","保安",2,6
"842","保定",2,3
"843","保持",2,16
"844","保有",2,3
"845","保甲",2,1
"846","保留",2,6
"847","保皇黨",3,1
"848","保管",2,1
"849","保舉",2,1
"850","保證",2,12
"851","保護",2,33
"852","保送",2,1
"853","保鏢",2,1
"854","保障",2,20
"855","保險",2,9
"856","保險費",3,3
"857","保養",2,1
"858","俞",1,6
"859","俞允",2,3
"860","俟",1,42
"861","信",1,78
"862","信仰",2,11
"863","信件",2,3
"864","信任",2,5
"865","信函",2,2
"866","信吉",2,1
"867","信實",2,3
"868","信徒",2,1
"869","信心",2,1
"870","信念",2,2
"871","信息",2,1
"872","信條",2,12
"873","信用",2,19
"874","信用合作社",5,5
"875","信義",2,3
"876","信陽",2,1
"877","修",1,29
"878","修史",2,1
"879","修好",2,1
"880","修改",2,18
"881","修整",2,1
"882","修文",2,1
"883","修明",2,2
"884","修業",2,3
"885","修正",2,21
"886","修理",2,3
"887","修築",2,2
"888","修習",2,2
"889","修訂",2,1
"890","修身",2,5
"891","修造",2,1
"892","修養",2,5
"893","俯",1,5
"894","俱",1,37
"895","俱樂部",3,1
"896","俳優",2,2
"897","俸",1,6
"898","俸祿",2,1
"899","俸給",2,6
"900","俾",1,18
"901","俾斯麥",3,1
"902","倀",1,1
"903","倂",1,31
"904","倆",1,1
"905","倉",1,16
"906","倉儲",2,6
"907","倉卒",2,2
"908","倉庫",2,3
"909","倉皇",2,5
"910","倉頡",2,1
"911","個",1,339
"912","個人",2,27
"913","個個",2,2
"914","個別",2,2
"915","個性",2,3
"916","倍",1,28
"917","倏",1,2
"918","們",1,23
"919","倒",1,38
"920","倒塌",2,2
"921","倒斃",2,1
"922","倒置",2,2
"923","倒車",2,1
"924","倒退",2,1
"925","倒閉",2,3
"926","倔強",2,1
"927","倖",1,4
"928","倖存",2,1
"929","倘",1,13
"930","倘使",2,5
"931","倘或",2,1
"932","倘若",2,1
"933","候",1,20
"934","候補",2,28
"935","候選",2,1
"936","倚",1,6
"937","倚仗",2,1
"938","倚賴",2,1
"939","借",1,73
"940","借債",2,10
"941","借助",2,1
"942","借款",2,76
"943","借用",2,2
"944","借貸",2,13
"945","借重",2,2
"946","倡",1,23
"947","倡導",2,1
"948","倡言",2,2
"949","倡議",2,3
"950","倣",1,12
"951","値",1,94
"952","倦",1,5
"953","倨",1,1
"954","倪",1,4
"955","倫",1,41
"956","倫敦",2,28
"957","倫理",2,11
"958","倫理學",3,4
"959","倬",1,1
"960","倭",1,40
"961","偃",1,2
"962","偃月刀",3,1
"963","假",1,37
"964","假使",2,4
"965","假借",2,4
"966","假如",2,2
"967","假定",2,1
"968","假想",2,3
"969","假想敵",3,1
"970","假若",2,1
"971","假裝",2,5
"972","假面具",3,1
"973","偉",1,8
"974","偉人",2,1
"975","偉大",2,11
"976","偉業",2,1
"977","偏",1,21
"978","偏偏",2,1
"979","偏安",2,1
"980","偏心",2,1
"981","偏見",2,1
"982","偏重",2,3
"983","偏頗",2,2
"984","偓",1,3
"985","偕",1,9
"986","偕同",2,1
"987","做",1,124
"988","做官",2,7
"989","做工",2,2
"990","停",1,20
"991","停妥",2,1
"992","停息",2,1
"993","停戰",2,4
"994","停業",2,1
"995","停止",2,27
"996","停滯",2,2
"997","停車場",3,1
"998","停辦",2,6
"999","停頓",2,4
"1000","健",1,4
"1001","健全",2,4
"1002","健將",2,1
"1003","健康",2,5
"1004","側",1,2
"1005","側重",2,4
"1006","側面",2,2
"1007","偵",1,7
"1008","偵探",2,7
"1009","偶",1,15
"1010","偶然",2,2
"1011","偶爾",2,3
"1012","偸",1,4
"1013","傀儡",2,4
"1014","傅",1,3
"1015","傍",1,2
"1016","傍晚",2,3
"1017","傑",1,1
"1018","傑作",2,2
"1019","傑出",2,1
"1020","傖",1,2
"1021","備",1,78
"1022","傚",1,1
"1023","催",1,3
"1024","催促",2,2
"1025","傲慢",2,1
"1026","傲然",2,1
"1027","傳",1,70
"1028","傳佈",2,2
"1029","傳喚",2,1
"1030","傳單",2,3
"1031","傳布",2,3
"1032","傳授",2,1
"1033","傳播",2,13
"1034","傳教",2,24
"1035","傳教士",3,2
"1036","傳染",2,5
"1037","傳染病",3,1
"1038","傳統",2,22
"1039","傳習",2,4
"1040","傳聞",2,2
"1041","傳訊",2,1
"1042","傳說",2,7
"1043","傳達",2,2
"1044","傳遞",2,2
"1045","債",1,41
"1046","債券",2,6
"1047","債務",2,11
"1048","債權",2,16
"1049","債權國",3,2
"1050","債款",2,4
"1051","傷",1,30
"1052","傷亡",2,4
"1053","傷勢",2,1
"1054","傷寒",2,4
"1055","傷心",2,1
"1056","傷痕",2,1
"1057","傾",1,9
"1058","傾倒",2,2
"1059","傾向",2,10
"1060","傾心",2,1
"1061","傾聽",2,1
"1062","傾覆",2,3
"1063","傾軋",2,1
"1064","僅",1,173
"1065","僅僅",2,8
"1066","僅有",2,2
"1067","僉",1,14
"1068","働",1,1
"1069","像",1,65
"1070","像樣",2,3
"1071","僑",1,13
"1072","僑居",2,5
"1073","僑民",2,3
"1074","僑胞",2,1
"1075","僕",1,16
"1076","僕婢",2,1
"1077","僚",1,1
"1078","僞",1,51
"1079","僥倖",2,3
"1080","僧",1,16
"1081","僧人",2,3
"1082","僧侶",2,4
"1083","僧官",2,1
"1084","僧徒",2,3
"1085","僧格林沁",4,1
"1086","僱",1,7
"1087","僵",1,1
"1088","價",1,99
"1089","價格",2,3
"1090","價錢",2,3
"1091","僻",1,4
"1092","僻壤",2,1
"1093","僿",1,1
"1094","儀",1,2
"1095","儀制",2,1
"1096","儀器",2,11
"1097","儀容",2,1
"1098","儀式",2,1
"1099","儀禮",2,1
"1100","儀節",2,1
"1101","億",1,25
"1102","億萬",2,3
"1103","儈",1,1
"1104","儉",1,10
"1105","儉樸",2,5
"1106","儒",1,8
"1107","儒學",2,3
"1108","儒家",2,4
"1109","儒教",2,2
"1110","儒者",2,2
"1111","儒術",2,3
"1112","儕",1,3
"1113","儘",1,12
"1114","儘管",2,1
"1115","儘速",2,1
"1116","儘量",2,1
"1117","償",1,12
"1118","償還",2,10
"1119","優",1,31
"1120","優伶",2,1
"1121","優先",2,2
"1122","優劣",2,3
"1123","優勝",2,4
"1124","優勢",2,6
"1125","優厚",2,2
"1126","優待",2,6
"1127","優異",2,2
"1128","優秀",2,9
"1129","優等",2,5
"1130","優美",2,4
"1131","優良",2,2
"1132","優越",2,5
"1133","優遇",2,2
"1134","優點",2,1
"1135","儲",1,6
"1136","儲蓄",2,4
"1137","儲藏",2,2
"1138","儶",1,2
"1139","儼",1,3
"1140","儼如",2,1
"1141","儼然",2,3
"1142","允",1,39
"1143","允准",2,1
"1144","允許",2,6
"1145","允諾",2,1
"1146","元",1,454
"1147","元代",2,2
"1148","元培",2,1
"1149","元宵",2,1
"1150","元就",2,4
"1151","元帥",2,2
"1152","元年",2,32
"1153","元氣",2,4
"1154","元首",2,6
"1155","兄",1,13
"1156","兄嫂",2,1
"1157","兄弟",2,15
"1158","兄長",2,1
"1159","充",1,46
"1160","充任",2,4
"1161","充分",2,11
"1162","充塞",2,2
"1163","充實",2,6
"1164","充斥",2,3
"1165","充滿",2,3
"1166","充當",2,3
"1167","充裕",2,1
"1168","兆",1,19
"1169","兆民",2,1
"1170","兇",1,1
"1171","兇悍",2,1
"1172","兇手",2,2
"1173","先",1,262
"1174","先例",2,1
"1175","先後",2,10
"1176","先是",2,1
"1177","先月",2,1
"1178","先民",2,1
"1179","先決",2,1
"1180","先河",2,1
"1181","先生",2,77
"1182","先秦",2,2
"1183","先聲",2,2
"1184","先賢",2,1
"1185","先進",2,3
"1186","先鋒",2,1
"1187","先驅",2,2
"1188","光",1,83
"1189","光大",2,1
"1190","光彩",2,2
"1191","光復",2,12
"1192","光明",2,3
"1193","光景",2,1
"1194","光榮",2,1
"1195","光武",2,1
"1196","光澤",2,1
"1197","光緒",2,1
"1198","光華",2,1
"1199","光譜",2,1
"1200","光輝",2,1
"1201","光陰",2,4
"1202","克",1,47
"1203","克利",2,1
"1204","克復",2,1
"1205","克拉",2,1
"1206","克斯",2,1
"1207","克明",2,1
"1208","克服",2,1
"1209","克朗",2,1
"1210","克爾",2,2
"1211","兌",1,46
"1212","兌換",2,16
"1213","兌現",2,2
"1214","免",1,61
"1215","免官",2,1
"1216","免職",2,1
"1217","免費",2,3
"1218","免除",2,1
"1219","兒",1,12
"1220","兒子",2,1
"1221","兒戲",2,2
"1222","兒童",2,6
"1223","兔",1,1
"1224","兜",1,1
"1225","兜攬",2,1
"1226","兢兢",2,1
"1227","入",1,313
"1228","入口",2,3
"1229","入場券",3,1
"1230","入學",2,5
"1231","入手",2,4
"1232","入江",2,1
"1233","入門",2,2
"1234","內",1,359
"1235","內亂",2,4
"1236","內務",2,16
"1237","內務府",3,2
"1238","內務部",3,5
"1239","內地",2,16
"1240","內容",2,39
"1241","內心",2,3
"1242","內應",2,1
"1243","內戰",2,2
"1244","內政",2,16
"1245","內政部",3,3
"1246","內涵",2,1
"1247","內省",2,1
"1248","內蒙",2,12
"1249","內部",2,12
"1250","內閣",2,83
"1251","內閣制",3,2
"1252","內閣總理",4,2
"1253","全",1,192
"1254","全力",2,3
"1255","全國",2,116
"1256","全土",2,1
"1257","全城",2,1
"1258","全家",2,1
"1259","全局",2,4
"1260","全年",2,6
"1261","全數",2,8
"1262","全文",2,5
"1263","全會",2,2
"1264","全權",2,8
"1265","全段",2,2
"1266","全然",2,1
"1267","全球",2,3
"1268","全盛",2,1
"1269","全盤",2,1
"1270","全縣",2,1
"1271","全軍",2,1
"1272","全部",2,38
"1273","全集",2,1
"1274","全面",2,5
"1275","全額",2,1
"1276","全體",2,49
"1277","兩",1,461
"1278","兩千",2,2
"1279","兩廣",2,3
"1280","兩晉",2,1
"1281","兩江",2,2
"1282","兩漢",2,2
"1283","兩百",2,3
"1284","兩萬",2,2
"1285","兪",1,5
"1286","八",1,250
"1287","八九",2,10
"1288","八十",2,28
"1289","八十八",3,5
"1290","八千",2,18
"1291","八句",2,1
"1292","八國",2,6
"1293","八國聯軍",4,3
"1294","八子",2,1
"1295","八年",2,5
"1296","八旗",2,5
"1297","八日",2,5
"1298","八月",2,63
"1299","八月份",3,2
"1300","八條",2,1
"1301","八百",2,29
"1302","八股",2,5
"1303","八股文",3,1
"1304","八萬",2,4
"1305","八角",2,3
"1306","公",1,242
"1307","公主",2,4
"1308","公事",2,3
"1309","公佈",2,18
